epoch,w0,w1,w2,w3,wg0,wg1,wg2,wg3,loss,loss_kl,loss_mse
1.0200e+02,1.0747e+00,8.6170e-01,7.8788e-01,9.2352e-01,-1.4081e+00,1.2347e+00,1.7497e+00,1.3955e-01,1.6404e+01,9.9256e-01,1.5411e+01
1.0300e+02,1.0761e+00,8.6047e-01,7.8613e-01,9.2338e-01,1.7126e+00,1.1910e+00,9.4464e-01,1.3676e-01,1.2475e+01,9.9231e-01,1.1483e+01
1.0400e+02,1.0744e+00,8.5928e-01,7.8518e-01,9.2324e-01,-1.3211e+00,1.0763e+00,2.0162e+00,5.1182e-01,1.6849e+01,9.8936e-01,1.5860e+01
1.0500e+02,1.0757e+00,8.5820e-01,7.8317e-01,9.2273e-01,-1.3771e+00,1.1792e+00,1.6931e+00,9.1129e-02,1.6216e+01,9.8873e-01,1.5227e+01
1.0600e+02,1.0771e+00,8.5702e-01,7.8147e-01,9.2264e-01,4.0028e-01,-1.8429e-01,2.6654e+00,2.1861e+00,1.6463e+01,9.8854e-01,1.5474e+01
1.0700e+02,1.0767e+00,8.5721e-01,7.7881e-01,9.2045e-01,-1.9868e+00,2.5046e+00,2.1508e+00,7.8285e-01,1.9104e+01,9.8536e-01,1.8118e+01
1.0800e+02,1.0786e+00,8.5470e-01,7.7666e-01,9.1967e-01,-2.1228e+00,2.8677e+00,1.1488e+00,-2.5385e-02,1.7579e+01,9.8490e-01,1.6594e+01
1.0900e+02,1.0808e+00,8.5184e-01,7.7551e-01,9.1970e-01,-1.1676e+00,8.3560e-01,1.5071e+00,-2.8947e-02,1.5397e+01,9.8554e-01,1.4411e+01
1.1000e+02,1.0819e+00,8.5100e-01,7.7400e-01,9.1972e-01,-9.2004e-01,4.8381e-01,2.4011e+00,1.4033e+00,1.7243e+01,9.8542e-01,1.6257e+01
1.1100e+02,1.0829e+00,8.5052e-01,7.7160e-01,9.1832e-01,-3.3363e-01,-6.7692e-02,6.5993e-01,5.0152e-01,1.3263e+01,9.8398e-01,1.2280e+01
1.1200e+02,1.0832e+00,8.5058e-01,7.7094e-01,9.1782e-01,-1.9412e+00,2.4161e+00,2.3851e+00,1.3696e+00,1.9795e+01,9.8368e-01,1.8812e+01
1.1300e+02,1.0851e+00,8.4817e-01,7.6855e-01,9.1645e-01,-8.6807e-02,-1.7981e-01,2.6840e+00,2.3063e+00,1.7055e+01,9.8287e-01,1.6073e+01
1.1400e+02,1.0852e+00,8.4835e-01,7.6587e-01,9.1414e-01,4.3897e-01,-1.8128e-01,1.9295e+00,4.0599e-01,1.3965e+01,9.8021e-01,1.2984e+01
1.1500e+02,1.0848e+00,8.4853e-01,7.6394e-01,9.1374e-01,-1.8881e+00,2.2915e+00,2.3078e+00,1.1884e+00,1.9384e+01,9.7817e-01,1.8406e+01
1.1600e+02,1.0867e+00,8.4624e-01,7.6163e-01,9.1255e-01,5.4674e-01,-1.4377e-01,2.0485e+00,6.2016e-01,1.4238e+01,9.7748e-01,1.3260e+01
1.1700e+02,1.0861e+00,8.4638e-01,7.5958e-01,9.1193e-01,-1.8833e+00,2.2848e+00,2.2196e+00,9.8629e-01,1.9087e+01,9.7516e-01,1.8112e+01
1.1800e+02,1.0880e+00,8.4410e-01,7.5737e-01,9.1094e-01,1.2530e-02,-2.0691e-01,1.8375e+00,2.8652e-01,1.4122e+01,9.7462e-01,1.3148e+01
1.1900e+02,1.0880e+00,8.4430e-01,7.5553e-01,9.1066e-01,-5.2858e-01,7.4517e-02,2.4300e+00,1.5485e+00,1.6700e+01,9.7318e-01,1.5727e+01
1.2000e+02,1.0885e+00,8.4423e-01,7.5310e-01,9.0911e-01,-1.5207e-01,-1.5716e-01,1.3850e+00,-6.3980e-02,1.3449e+01,9.7141e-01,1.2478e+01
1.2100e+02,1.0887e+00,8.4439e-01,7.5171e-01,9.0917e-01,-1.5925e+00,1.6360e+00,2.6213e+00,2.1639e+00,1.9792e+01,9.7059e-01,1.8821e+01
1.2200e+02,1.0903e+00,8.4275e-01,7.4909e-01,9.0701e-01,-1.9608e+00,2.4935e+00,1.2121e+00,-6.3522e-02,1.7173e+01,9.6925e-01,1.6204e+01
1.2300e+02,1.0922e+00,8.4026e-01,7.4788e-01,9.0707e-01,-1.5271e+00,1.5119e+00,1.6004e+00,4.4981e-02,1.6511e+01,9.6987e-01,1.5541e+01
1.2400e+02,1.0937e+00,8.3874e-01,7.4628e-01,9.0703e-01,6.4206e-01,-1.0687e-01,2.2618e+00,1.1279e+00,1.4907e+01,9.6994e-01,1.3937e+01
1.2500e+02,1.0931e+00,8.3885e-01,7.4402e-01,9.0590e-01,-7.9470e-01,3.4613e-01,2.1659e+00,9.0732e-01,1.6296e+01,9.6722e-01,1.5328e+01
1.2600e+02,1.0939e+00,8.3851e-01,7.4185e-01,9.0499e-01,-1.5623e+00,1.5892e+00,2.1050e+00,7.8093e-01,1.7878e+01,9.6611e-01,1.6912e+01
1.2700e+02,1.0955e+00,8.3692e-01,7.3975e-01,9.0421e-01,-1.4181e+00,1.3072e+00,1.6269e+00,7.4691e-02,1.6299e+01,9.6562e-01,1.5334e+01
1.2800e+02,1.0969e+00,8.3561e-01,7.3812e-01,9.0414e-01,1.3106e+00,5.0507e-01,1.5195e+00,-2.5570e-03,1.2925e+01,9.6562e-01,1.1960e+01
